Monitoring outputs/han_deberta_large_full/training_log.jsonl every 300s
Press Ctrl+C to stop

[20:03:35] No log entries yet. Process alive: True
[20:08:35] epoch=0 step=200 loss=0.8468 | process=ALIVE
[20:13:35] epoch=0 step=450 loss=0.7407 | process=ALIVE
[20:18:36] epoch=0 step=700 loss=0.6817 | process=ALIVE
[20:23:36] epoch=0 step=900 loss=0.6886 | process=ALIVE
[20:28:36] epoch=0 step=1150 loss=0.7074 | process=ALIVE
[20:33:36] epoch=0 step=1400 loss=0.7209 | process=ALIVE
[20:38:36] epoch=0 step=1650 loss=0.7311 | process=ALIVE
[20:43:36] epoch=0 step=1850 loss=0.733 | process=ALIVE
[20:48:36] epoch=0 step=2100 loss=0.745 | process=ALIVE
[20:53:36] epoch=0 step=2350 loss=0.7529 | process=ALIVE
[20:58:36] epoch=0 step=2600 loss=0.7588 | process=ALIVE
[21:03:36] epoch=0 step=2850 loss=0.7609 | process=ALIVE
[21:08:36] epoch=0 step=3050 loss=0.7619 | process=ALIVE
[21:13:37] epoch=0 step=3300 loss=0.7637 | process=ALIVE
[21:18:37] epoch=0 step=3550 loss=0.7643 | process=ALIVE
[21:23:37] epoch=0 step=3800 loss=0.7658 | process=ALIVE
[21:28:37] epoch=0 step=4050 loss=0.7642 | process=ALIVE
[21:33:37] epoch=0 step=4300 loss=0.765 | process=ALIVE
[21:38:37] epoch=0 step=4550 loss=0.7664 | process=ALIVE
[21:43:37] epoch=0 step=4750 loss=0.7666 | process=ALIVE
[21:48:37] epoch=0 step=5000 loss=0.767 | process=ALIVE
[21:53:37] epoch=0 step=5250 loss=0.7666 | process=ALIVE
[21:58:37] epoch=0 step=5500 loss=0.7663 | process=ALIVE
[22:03:37] epoch=0 step=5700 loss=0.7661 | process=ALIVE
[22:08:37] epoch=0 step=5950 loss=0.765 | process=ALIVE
[22:13:37] epoch=0 step=6150 loss=0.7659 | process=ALIVE
[22:18:37] epoch=0 step=6400 loss=0.765 | process=ALIVE
[22:23:37] epoch=0 step=6600 loss=0.7645 | process=ALIVE
[22:28:38] epoch=0 step=6850 loss=0.7643 | process=ALIVE
[22:33:38] epoch=0 step=7100 loss=0.7633 | process=ALIVE
[22:38:38] epoch=0 step=7300 loss=0.7631 | process=ALIVE
[22:43:38] epoch=0 step=7550 loss=0.762 | process=ALIVE
[22:48:38] epoch=0 step=7800 loss=0.7607 | process=ALIVE
[22:53:38] epoch=0 step=8000 loss=0.7596 | process=ALIVE
[22:58:38] epoch=0 step=8250 loss=0.7584 | process=ALIVE
[23:03:38] epoch=0 step=8500 loss=0.7575 | process=ALIVE
[23:08:38] epoch=0 step=8750 loss=0.7564 | process=ALIVE
[23:13:38] epoch=0 step=8950 loss=0.7553 | process=ALIVE
[23:18:38] epoch=0 step=9200 loss=0.7541 | process=ALIVE
[23:23:38] epoch=0 step=9450 loss=0.7528 | process=ALIVE
[23:28:38] epoch=0 step=9650 loss=0.752 | process=ALIVE
[23:33:38] epoch=0 step=9900 loss=0.7509 | process=ALIVE
[23:38:38] epoch=0 step=10150 loss=0.7497 | process=ALIVE
[23:43:39] epoch=0 step=10400 loss=0.7484 | process=ALIVE
[23:48:39] epoch=0 step=10600 loss=0.7474 | process=ALIVE
[23:53:39] epoch=0 step=10850 loss=0.7462 | process=ALIVE
[23:58:39] epoch=0 step=11100 loss=0.745 | process=ALIVE
[00:03:39] epoch=0 step=11350 loss=0.7436 | process=ALIVE
[00:08:39] epoch=0 step=11550 loss=0.7429 | process=ALIVE
[00:13:39] epoch=0 step=11800 loss=0.7422 | process=ALIVE
[00:18:39] epoch=0 step=12050 loss=0.7411 | process=ALIVE
[00:23:39] epoch=0 step=12250 loss=0.7405 | process=ALIVE
[00:28:39] epoch=0 step=12500 loss=0.7397 | process=ALIVE
[00:33:39] epoch=0 step=12750 loss=0.7387 | process=ALIVE
[00:38:39] epoch=0 step=13000 loss=0.738 | process=ALIVE
[00:43:40] epoch=0 step=13250 loss=0.7372 | process=ALIVE
[00:48:40] epoch=0 step=13450 loss=0.7365 | process=ALIVE
[00:53:40] epoch=0 step=13700 loss=0.7356 | process=ALIVE
[00:58:40] epoch=0 step=13950 loss=0.735 | process=ALIVE
[01:03:40] epoch=0 step=14200 loss=0.7343 | process=ALIVE
[01:08:40] epoch=0 step=14400 loss=0.7336 | process=ALIVE
[01:13:40] epoch=0 step=14650 loss=0.733 | process=ALIVE
[01:18:40] epoch=0 step=14900 loss=0.7322 | process=ALIVE
[01:23:40] epoch=0 step=15150 loss=0.7316 | process=ALIVE
[01:28:40] epoch=0 step=15350 loss=0.7311 | process=ALIVE
